Accolay                        ;R
Achron, Joseph                 ;Con
Albeniz, Isaac                 ;R
Albeniz, Mateo                 ;C
Albrechtsberger, Johann        ;C
Aquado                         ;R
Arban, Jean-Baptiste           ;R
Artunian, Alexander            ;Con
Bach, C.P.E.                   ;C
Bach, J.S.                     ;B
Bach, J.C                      ;C
Bach, W.F.                     ;C
Bach-Busoni                    ;R
Bach-Rachmaninoff              ;R
Balakirev, Mily                ;R
Balay                          ;R
Barat, J.E.                    ;R/Con
Barber, Samuel                 ;Con
Bartok, Bela                   ;Con
Bassett, Leslie                ;Con
Beach, Amy                     ;R
Beethoven, Ludwig van          ;C
Berg, Alban                    ;Con
Berio, Luciano                 ;Con
Beriot, Charles de             ;R
Bernstein, Leonard             ;Con
Beyer, Emil                    ;Con
Bilotti, Anton                 ;Con
Bizet, Georges                 ;R
Blavet, Michael                ;B
Bloch, Ernest                  ;I/Con
Boccalari                      ;R
Boccherini, Luigi              ;C
Bochme, Oscar                  ;R
Bohm, Carl                     ;R
Borne, Francois                ;R
Boulanger, Lili                ;R/I
Bozza, Eugene                  ;Con
Brahms, Johannes               ;R
Breval, Jean-Baptiste          ;C
Britten, Benjamin              ;Con
Bruch, Max                     ;R
Burton, Eldon                  ;Con
Bush, Geoffrey                 ;Con
Busoni, Ferruccio              ;R
Busser, Henri                  ;R
Caplet, Andre                  ;I
Cappuzzi, Antonio              ;C
Cassado, Gaspar                ;Con
Chabrier, A.E.                 ;R
Chaminade, Cecile              ;R
Chopin, Frederic               ;R
Cimarosa, Domenico             ;C
CLark, Herbert                 ;R
Clementi, Muzio                ;C
Cooke, Arnold                  ;Con
Copland, Aaron                 ;Con
Cords, Gustov                  ;R
Corelli, Arcangelo             ;B
Corigliano, John               ;Con
Couperin, Francois             ;B
Creston, Paul                  ;Con
Crusell, Berhnhard             ;C
Damare, Eugene                 ;R
Damase, Jean-Michel            ;Con
Danzi, Franz                   ;C
David, Ferdinand               ;R
Debussy, Claude                ;I
Dela, Maurice                  ;Con
Delibes, Leo                   ;R
Dello Joio, Norman             ;Con
Demersseman, Jules             ;R
Denisov, Edison                ;Con
Desportes, Yvonne              ;Con
Devienne, Francois             ;C
Dick, Marcel                   ;Con
Dohnanyi, Ernst                ;R
Donjon, Johannes               ;R
Doppler, Albert Franz          ;R
Dornel, Louis-Antoine          ;B
Dougherty, Celius              ;Con
Dukas, Paul                    ;Con
Dutilleux, Henri               ;Con
Dvorak, Antonin                ;R
Eccles, Henry                  ;B
Elgar, Edward                  ;R
Enesco, Georges                ;R
Falla, Manuel de               ;R/I
Faure, Gabriel                 ;R
Finzi, Gerald                  ;Con
Francaix, Jean                 ;Con
Franck, Cesar                  ;R
Francouer, Francois            ;C
Franz, O.                      ;R
Frummerie, Gunnar de           ;Con
Ganne, Louis                   ;R
Gaubert, Philippe              ;R
Gershwin, George               ;Con
Ginastera, Alberto             ;Con
Glazounov, Alexander           ;R
Gliere, Reinhold               ;R/Con
Gluck, Willibald Christopher   ;C
Godard, Benjamin               ;R
Goedicke, Alexandre            ;R
Golterman, Georg               ;R
Graeffe, F.                    ;R
Granados, Enrique              ;R
Gretry, Andre                  ;C
Grieg, Edward                  ;R
Griffes, Charles               ;I
Guilmant, Alexandre            ;R
Haddad, D.                     ;Con
Handel, George Frederic        ;B
Hartley, Walter                ;Con
Haydn, Franz Joseph            ;C
Heiden, Bernard                ;Con
Henselt, Adolph                ;R
Hindemith, Paul                ;Con
Honegger, Arthur               ;Con
Hook, James                    ;C
Hoover, Katherine              ;Con
Hovhaness, Alan                ;Con
Hue, Georges                   ;R/Con
Hummel, Johann                 ;C
Ibert, Jacques                 ;I/Con
Ireland, John                  ;R/I
Ives, Charles                  ;Con
Jacob, Gordon                  ;Con
Jean Jean, Paul                ;I
Jolivet, Andre                 ;Con
Kabalevsky, Dmitri             ;Con
Kail, Joseph                   ;R
Kennan, Kent                   ;Con
Khatchaturian, Aram            ;Con
Klughardt, August              ;R
Knorr, Ernst-Lothar von        ;Con
Kodaly, Zoltan                 ;Con
Kramer (Krommer), Franz        ;C
Kreisler, Fritz                ;R
Krenek, Ernst                  ;Con
Kroll, Bernhard                ;Con
Kuhlau, Friedrich              ;C
Kuhnau, Johann                 ;B
Kurka, Robert                  ;Con
Lalo, Edouard                  ;R
Lantier, Pierre                ;Con
Larsson, Lars-Erik             ;Con
Lavallee, Calixa               ;R
Lebedev, Aleksei               ;R
Lecuona, Ernesto               ;Con
Lees, Benjamin                 ;Con
Levitski, Mischa               ;R
Liebermann, Rolf               ;Con
Liszt, Franz                   ;R
Lorenz, Alfred                 ;R
Lunde, Lawson                  ;Con
Lutoslawski, Witold            ;Con
Lynes, Frank                   ;R
MacDowell, Edward              ;R
Maros, Rudolf                  ;Con
Martin, Frank                  ;Con
Martinu, Bohuslav              ;Con
Mason, Daniel                  ;R
Massenet, Jules                ;R
Mauquet                        ;R
Mendelssohn, Felix             ;R
Menotti, Gian Carlo            ;Con
Mertz, Joseph Kasper           ;R
Messiaen, Olivier              ;Con
Milhaud, Darius                ;Con
Miyagi, Michio                 ;Con
Mlynarski, Emil                ;R
Molter, Johann                 ;C
Mompou, Federico               ;Con
Monti, Vittorio                ;R
Moussorgsky, Modest            ;R
Mozart, Leopold                ;C
Mozart, Wolfgang Amadeus       ;C
Mozart/Kreisler                ;C/R
Muczynski, Robert              ;Con
Nardini, Pietro                ;C
Neruda, J.G.B.                 ;C
Nicholson, Charles             ;R
Nielson, Carl                  ;R/Con
Osborne, Willson               ;Con
Ostransky, Leroy               ;Con
Paderewski, Ignace             ;R
Paganini, Niccolo              ;R
Palmgren, Selim                ;I/Con
Pepin, Normand                 ;Con
Pergolesi, Giovanni            ;B
Pieczonka, Albert              ;R
Ponce, Manuel                  ;I/Con
Popper, David                  ;R
Poulenc, Francis               ;Con
Prokofiev, Sergei              ;Con
Pryor, Arthur                  ;R/Con
Pujol, Emilio                  ;R
Ouantz, Johann                 ;B
Rabaud, Henri                  ;Con
Rachmaninoff, Sergei           ;R
Ravel, Maurice                 ;I
Reger, Max                     ;R
Reinecke, Carl                 ;R
Repartz, Joseph Guy            ;R
Reuff, Jeanine                 ;Con
Ries, Franz                    ;R
Rimsky-Korsakov, Nicolai       ;R
Rodrigo, Joaquin               ;Con
Rossini, Gioacchino            ;R
Roussel, Albert                ;I/Con
Sachse, Leopold                ;R
Saint-Saens, Camille           ;R
Sammartini, Giovanni           ;B/C
Sancan, Pierre                 ;Con
Sarasate, Pablo de             ;R
Satie, Erik                    ;Con
Savari, J. N.                  ;R
Scarlatti, Domenico            ;B
Schlozer, Pyotr                ;R
Schubert, Franz                ;C/R
Schumann, Robert               ;R
Scott, Cyril                   ;I/Con
Scriabin, Alexander            ;R/Con
Seetz                          ;R
Severn, Edmund                 ;R
Shostakovich, Dmitri           ;Con
Sibelius, Jean                 ;R
Simons, Gardell                ;Con
Smith, Grace Wiley             ;Con
Soler, Padre Antonio           ;B
Spohr, Louis                   ;R
Squire, William H.             ;R
Stamitz, Carl                  ;C
Stamitz, Johann                ;C
Strauss, Richard               ;R
Stravinsky, Igor               ;Con
Sutermeister, Heinrich         ;Con
Szymanowski, Karol             ;I/Con
Taffanel, Paul                 ;R
Tansman, Alexandre             ;Con
Tarrega, Francisco             ;R
Tauriello, Antonio             ;Con
Tchaikovsky, Piotr             ;R
Tcherepnin, Alexander          ;Con
Tcherepnin, Ivan               ;Con
Tedesco, Mario                 ;Con
Telemann, Georg                ;B
Ten Have, William              ;R
Thome, Reuff                   ;R
Tomasi, Henri                  ;Con
Tower, Joan                    ;Con
Turina, Joaquin                ;Con
Valle/Heifetz                  ;Con
Van Goens, Daniel              ;R
Vanhal, Johann                 ;C
Varese, Edgar                  ;Con
Vaughan Williams, Ralph        ;R/Con
Veracini, Francesco            ;B
Villa-Lobos, Heiter            ;Con
Viotti, Giovanni               ;C
Vitali, Tommaso                ;B
Vivaldi, Antonio               ;B
Walker, John                   ;Con
Weber, Carl Marie von          ;C/R
Webern, Anton                  ;Con
Weckerlin, Jean-Baptiste       ;R
Widor, Charles                 ;R
Wieniawski, Henri              ;R
York, A.                       ;Con
Ysaye, Eugene                  ;R/Con
Zambarano, Alfred              ;R
Zeckwar, Camille               ;R